--- Report words in books/frankenstein.txt ---

7263 unique words found in file.

'bushes' was found 1 times.
'busied' was found 3 times.
'busier' was found 1 times.
'busily' was found 1 times.
'business' was found 4 times.
'bustle' was found 1 times.
'busy' was found 7 times.
'but' was found 692 times.
'buy' was found 1 times.
'by' was found 485 times.
'c' was found 5 times.
'cabin' was found 9 times.
'cabinets' was found 1 times.
'cabriolet' was found 1 times.
'cadence' was found 1 times.
'caesar' was found 1 times.
'cake' was found 1 times.
'calamities' was found 1 times.
'calamity' was found 1 times.
'calculate' was found 1 times.
'calculated' was found 2 times.
'calculating' was found 1 times.
'calculations' was found 1 times.
'call' was found 13 times.
'called' was found 26 times.
'calling' was found 2 times.
'callous' was found 1 times.
'calm' was found 20 times.
'calmed' was found 4 times.
'calmer' was found 3 times.
'calmly' was found 1 times.
'calmness' was found 2 times.
'came' was found 42 times.
'campagne' was found 1 times.
'can' was found 103 times.
'candle' was found 1 times.
'candour' was found 2 times.
'cannot' was found 50 times.
'canopied' was found 1 times.
'canopy' was found 1 times.
'canst' was found 1 times.
'canvassed' was found 1 times.
'capable' was found 14 times.
'capacious' was found 1 times.
'capacities' was found 1 times.
'capacity' was found 3 times.
'cape' was found 1 times.
'capitulated' was found 1 times.
'caprice' was found 1 times.
'caprices' was found 1 times.
'captain' was found 5 times.
'captive' was found 1 times.
'card' was found 1 times.
'care' was found 22 times.
'career' was found 3 times.
'carefully' was found 3 times.
'careless' was found 1 times.
'carelessly' was found 2 times.
'carelessness' was found 3 times.
'cares' was found 5 times.
'caresses' was found 2 times.
'carnage' was found 1 times.
'caroline' was found 3 times.
'carpeted' was found 1 times.
'carriage' was found 3 times.
'carriages' was found 1 times.
'carried' was found 11 times.
'carry' was found 3 times.
'carrying' was found 1 times.
'case' was found 9 times.
'casement' was found 1 times.
'cast' was found 12 times.
'casting' was found 1 times.
'castle' was found 2 times.
'castles' was found 4 times.
'casualties' was found 1 times.
'catalogue' was found 1 times.
'cataract' was found 1 times.
'catastrophe' was found 3 times.
'catching' was found 1 times.
'catholic' was found 1 times.
'caught' was found 2 times.
'causation' was found 1 times.
'cause' was found 36 times.
'caused' was found 10 times.
'causes' was found 5 times.
'causing' was found 1 times.
'caution' was found 1 times.
'cave' was found 1 times.
'caves' was found 5 times.
'cease' was found 8 times.
'ceased' was found 11 times.
'ceasing' was found 1 times.
'celebrated' was found 2 times.
'celestial' was found 5 times.
'cell' was found 2 times.
'cemetery' was found 1 times.
'cenis' was found 1 times.
'centre' was found 1 times.
'centred' was found 1 times.
'century' was found 2 times.
'ceremony' was found 3 times.
'certain' was found 7 times.
'certainly' was found 12 times.
'certainty' was found 5 times.
'chain' was found 2 times.
'chained' was found 3 times.
'chains' was found 3 times.
'chair' was found 5 times.
'chairs' was found 1 times.
'chaise' was found 1 times.
'chamber' was found 9 times.
'chamois' was found 2 times.
'chamounix' was found 5 times.
'chance' was found 7 times.
'chanced' was found 1 times.
'chances' was found 1 times.
'change' was found 29 times.
'changeable' was found 1 times.
'changed' was found 10 times.
'changes' was found 3 times.
'changing' was found 1 times.
'channel' was found 1 times.
'chapter' was found 24 times.
'character' was found 7 times.
'characteristically' was found 1 times.
'characterize' was found 1 times.
'characters' was found 3 times.
'charge' was found 14 times.
'charged' was found 3 times.
'charges' was found 1 times.
'charging' was found 1 times.
'charitable' was found 1 times.
'charities' was found 1 times.
'charity' was found 2 times.
'charles' was found 1 times.
'charm' was found 3 times.
'charmed' was found 1 times.
'charming' was found 1 times.
'charms' was found 1 times.
'charnel' was found 2 times.
'chase' was found 2 times.
'chasms' was found 1 times.
'chastened' was found 1 times.
'chastise' was found 1 times.
'chattered' was found 2 times.
'cheat' was found 2 times.
'check' was found 3 times.
'checked' was found 3 times.
'checks' was found 1 times.
'cheek' was found 6 times.
'cheeks' was found 7 times.
'cheered' was found 2 times.
'cheerful' was found 12 times.
'cheerfully' was found 3 times.
'cheerfulness' was found 4 times.
'cheering' was found 2 times.
